@relation similarities

@attribute articlecats-range real
@attribute articlecats-percent real
@attribute articlecats-rank real
@attribute articletext-range real
@attribute articletext-percent real
@attribute articletext-rank real
@attribute esa-range real
@attribute esa-percent real
@attribute esa-rank real
@attribute inlinks-range real
@attribute inlinks-percent real
@attribute inlinks-rank real
@attribute outlinks-range real
@attribute outlinks-percent real
@attribute outlinks-rank real
@attribute pairwiseesa-range real
@attribute pairwiseesa-percent real
@attribute pairwiseesa-rank real
@attribute pairwiseinlinks-range real
@attribute pairwiseinlinks-percent real
@attribute pairwiseinlinks-rank real
@attribute pairwiseoutlinks-range real
@attribute pairwiseoutlinks-percent real
@attribute pairwiseoutlinks-rank real
@attribute pairwisetext-range real
@attribute pairwisetext-percent real
@attribute pairwisetext-rank real
@attribute sim real
@data
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.1
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.34078232059481484,0.20969692621352354,-0.483110545499402,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.1
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
-1192864.875,-2385730.75,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,4.9E-324,-1.0,-0.9997109875595003,0.0
